Type A-influensa (H3N2), tilfeller fra CDC 2004-2005
n (uker fra siste uke i september 2004) I (infiserte av 157759 testede)
0,300
1,700
2,1200
3,1200
4,900
5,1000
6,2700
7,2100
8,3600
9,6300
10,10800
11,25500
12,47200
13,67500
14,58000
15,84400
16,97400
17,109600
18,135400
19,133500
20,110900
21,93600
22,62700
23,47600
24,29500
25,16400
26,9400
27,3700
28,2600
29,1500
30,800
31,500
32,300
33,100
34,200
35,000
36,200
37,100
38,600
39,000
40,000
41,100
42,000
43,000
44,000
45,100
46,000
47,300
48,000
